Title,URL,Total Members,Posts Today,Posts Last Month,DAU/MAU,Scaled Members,Scaled DAU/MAU,Metric
Jaipur Marketplace:जयपूर,https://www.facebook.com/groups/326619107450120/about,1866,3,251,0.01195219123505976,0.02036450944013969,0.0520774046670461,0.026707088485520974
Jaipur Marketplace:जयपूर,https://www.facebook.com/groups/326619107450120/about,1866,2,251,0.00796812749003984,0.02036450944013969,0.03471826977803073,0.023235261507717903
Jaipur Marketplace:जयपूर,https://www.facebook.com/groups/326619107450120/about,1866,2,251,0.00796812749003984,0.02036450944013969,0.03471826977803073,0.023235261507717903
Sri Guru Gobind Singh College of Commerce - Alumni Association - SGGSCC,https://www.facebook.com/groups/sggscc.alumni/about,2504,0,4,0.0,0.02732729455418531,0.0,0.02186183564334825
Sri Guru Gobind Singh College of Commerce - Alumni Association - SGGSCC,https://www.facebook.com/groups/sggscc.alumni/about,2504,0,4,0.0,0.02732729455418531,0.0,0.02186183564334825
"FMS, Delhi",https://www.facebook.com/groups/2694685505/about,2386,0,11,0.0,0.026039506711775618,0.0,0.020831605369420497
"FMS, Delhi",https://www.facebook.com/groups/2694685505/about,2386,0,11,0.0,0.026039506711775618,0.0,0.020831605369420497
IMT Ghaziabad,https://www.facebook.com/groups/2357593563/about,2121,0,4,0.0,0.023147440794499617,0.0,0.018517952635599695
IMT Ghaziabad,https://www.facebook.com/groups/2357593563/about,2121,0,4,0.0,0.023147440794499617,0.0,0.018517952635599695
IIIT-Delhi,https://www.facebook.com/groups/iiitdelhi/about,2071,0,1,0.0,0.02260176797991924,0.0,0.018081414383935394
IIIT-Delhi,https://www.facebook.com/groups/iiitdelhi/about,2071,0,1,0.0,0.02260176797991924,0.0,0.018081414383935394
"IIT Dhanbad, IIT ISM Dhanbad",https://www.facebook.com/groups/IITISMDhanbad/about,1926,0,4,0.0,0.021019316817636146,0.0,0.016815453454108918
"IIT Dhanbad, IIT ISM Dhanbad",https://www.facebook.com/groups/IITISMDhanbad/about,1926,0,4,0.0,0.021019316817636146,0.0,0.016815453454108918
"IIT Dhanbad, IIT ISM Dhanbad",https://www.facebook.com/groups/IITISMDhanbad/about,1926,0,4,0.0,0.021019316817636146,0.0,0.016815453454108918
ROOBAROO,https://www.facebook.com/groups/rbr.manit/about,1802,0,1,0.0,0.019666048237476808,0.0,0.015732838589981448
